# call objective best wall_seconds
9.4000000000e+01 2.4970904217e+02 2.1971735967e+01 2.2801938442e+01
9.5000000000e+01 2.4970916090e+02 2.1971735967e+01 2.2489972387e+01
9.6000000000e+01 2.4970838944e+02 2.1971735967e+01 2.2116605441e+01
9.7000000000e+01 2.4970944048e+02 2.1971735967e+01 2.2597129099e+01
9.8000000000e+01 2.4970955288e+02 2.1971735967e+01 2.1975277147e+01
9.9000000000e+01 2.4970824563e+02 2.1971735967e+01 2.2521593016e+01
1.0000000000e+02 2.4969277093e+02 2.1971735967e+01 2.2389429920e+01
1.0100000000e+02 2.7309198132e+02 2.1971735967e+01 2.1993409962e+01
1.0200000000e+02 2.7309220432e+02 2.1971735967e+01 2.2253235715e+01
1.0300000000e+02 2.7309641799e+02 2.1971735967e+01 2.2621341519e+01
1.0400000000e+02 2.7309154024e+02 2.1971735967e+01 2.2376072039e+01
1.0500000000e+02 2.7309105948e+02 2.1971735967e+01 2.2448521356e+01
1.0600000000e+02 2.7309426519e+02 2.1971735967e+01 2.2530497420e+01
1.0700000000e+02 2.7309507683e+02 2.1971735967e+01 2.2485172878e+01
1.0800000000e+02 2.7309220553e+02 2.1971735967e+01 2.2592522682e+01
1.0900000000e+02 2.7308971319e+02 2.1971735967e+01 2.2690969410e+01
1.1000000000e+02 2.7309075018e+02 2.1971735967e+01 2.2433305689e+01
1.1100000000e+02 2.7309226321e+02 2.1971735967e+01 2.2525101011e+01
1.1200000000e+02 2.7308883019e+02 2.1971735967e+01 2.2558214456e+01
1.1300000000e+02 2.7309139141e+02 2.1971735967e+01 2.2499596879e+01
1.1400000000e+02 2.7309564720e+02 2.1971735967e+01 2.2337994375e+01
1.1500000000e+02 2.7310007154e+02 2.1971735967e+01 2.2561367941e+01
1.1600000000e+02 2.7309595999e+02 2.1971735967e+01 2.2558314205e+01
1.1700000000e+02 2.7308866281e+02 2.1971735967e+01 2.2665251303e+01
1.1800000000e+02 2.7309075336e+02 2.1971735967e+01 2.2343292015e+01
1.1900000000e+02 2.7309041517e+02 2.1971735967e+01 2.2499298485e+01
1.2000000000e+02 2.7309934652e+02 2.1971735967e+01 2.2355258302e+01
1.2100000000e+02 2.7309181915e+02 2.1971735967e+01 2.2502790854e+01
1.2200000000e+02 2.7308588939e+02 2.1971735967e+01 2.2398051310e+01
1.2300000000e+02 2.7309060103e+02 2.1971735967e+01 2.2344995397e+01
1.2400000000e+02 2.7309194878e+02 2.1971735967e+01 2.2318213426e+01
1.2500000000e+02 2.7309778908e+02 2.1971735967e+01 2.2123978090e+01
1.2600000000e+02 2.7309195881e+02 2.1971735967e+01 2.2406620090e+01
1.2700000000e+02 2.7309343924e+02 2.1971735967e+01 2.2591364838e+01
1.2800000000e+02 2.7309203915e+02 2.1971735967e+01 2.2314626710e+01
1.2900000000e+02 2.7309113249e+02 2.1971735967e+01 2.2407469230e+01
1.3000000000e+02 2.7309308972e+02 2.1971735967e+01 2.2317753329e+01
1.3100000000e+02 2.7309617914e+02 2.1971735967e+01 2.2455099215e+01
1.3200000000e+02 2.7308140680e+02 2.1971735967e+01 2.2272211321e+01
1.3300000000e+02 2.7308881766e+02 2.1971735967e+01 2.2389409175e+01
1.3400000000e+02 2.7309040639e+02 2.1971735967e+01 2.2113543271e+01
1.3500000000e+02 2.7309398305e+02 2.1971735967e+01 2.2279204017e+01
1.3600000000e+02 2.7308393096e+02 2.1971735967e+01 2.2549590358e+01
