   249.99999999990936       0.89611737957490400       0.95385891647907073       0.92354447304205800        1.0550674770329359E-002  0.19159263647347827       0.79658658115942338        2.0719559272520088E-002	   1.4568592060765894E-002  0.86687097199213892       0.47702093661655137       0.82425709249696044       0.78414154541213665       0.23265566639520893       0.20355734386310809     	  0.14571552110807007       0.60289616590922868       0.90144097433693138        1.2971987540912031E-002  0.89690556182201098       0.76712051362539813       0.73891552191914567     	  0.59021289491678253       0.80543674089930617       0.58468072387931658       0.91536276366888802       0.53767053684978527        3.4113956443190631E-002  0.92962466534010191     	  0.98739125001897154       0.23998173062000108       0.31960145319295413        3.9128232079615619E-002  0.84817700712558852       0.94793944381824946       0.44971201239024183     	  0.81735162443474119       0.79001673081480361       0.16064731036703631        5.7573837614487127E-003  0.37465846317054446       0.87224086945023604       0.27258433775238750     	  0.64832144294873661        3.2117269009327494E-002  0.89242314342715190       0.67016165861770638       0.13550294533270618       0.60865724740724936       0.73040509375887508     
   274.99999999989643       0.85053484758508968       0.87278882571803174       0.89212444472086416        9.1824673666199008E-003  0.22162226284577041       0.62009574962270964        2.4442960238460227E-002	   1.7279496566333347E-002  0.76488918948818263       0.55271742148787850       0.66919431888408110       0.61351393176531388        5.9883663534957776E-002  0.24054841275384187     	  0.17346973427096299       0.68238950163526535       0.84676430703718097        1.6494760920368116E-002  0.81761449228145422       0.59765565662454145       0.81696373351936624     	  0.67262801586424192       0.63364219850774073       0.36410665066397374       0.88736559643353297       0.60776374875025074        3.7259468114937272E-002  0.82287872382503469     	  0.98817138179625530        6.5020262415052071E-002  0.12109032537504054        1.2264032527710385E-002  0.74026881975352821       0.87916156237283016       0.24007460595532609     	  0.64611352543694167       0.62577689747296761       0.18696170340299426        6.1973094776809554E-003  0.16460611892899141       0.77670389742290846        8.3736171904887940E-002	  0.45036977298909331        3.6449974406720771E-002  0.77489332594750038       0.46408675827723245        1.7361324525748012E-002  0.68906423598968680       0.59303415048063113     
   299.99999999988347       0.78052861137884721       0.78972736717735414       0.81682736424304880        7.6267661297944010E-003  0.25164361999148721       0.42390360039493069        2.8679632816859150E-002	   2.0167504103979016E-002  0.64159194400803132       0.61518188772022264       0.48597041392609325       0.42322121301184451        3.5168524735284435E-003  0.27890937505749758     	  0.20265450107723221       0.75455568255148364       0.74982911510285799        1.7253495833027169E-002  0.69640689464373307       0.40989442260437153       0.88061092736913982     	  0.75070910877201946       0.43931154073342188       0.16974886257858920       0.81702310075087392       0.67155119067471913        4.6219453668956856E-002  0.67665630795858700     	  0.94324283123214503        4.3479186868758809E-003   1.5250483099487917E-002  0.14884491574954445       0.60259572620692592       0.78418357735216193        7.8672141242928276E-002	  0.45316285560011915       0.43841013291676217       0.21429982717360943        7.1296395291286195E-003   3.4392247235010318E-002  0.64713934051565836        3.1049389327603469E-002	  0.25128783152903300        4.0961797839075095E-002  0.61919172456061389       0.26232478820784777        4.0444395288503299E-002  0.76198797955135800       0.43828937685048019     
   324.99999999987051       0.68226497528269014       0.64086579574385794       0.70612759743857978        7.3146261921630566E-003  0.28104827344052163       0.23886287355219424        3.3055686174774564E-002	   2.3464846220964224E-002  0.49275757369192724       0.66488367737701892       0.30280655440058829       0.24164049679993041        8.0654721033340704E-002  0.31933225599329534     	  0.23371420335874751       0.81650277945053407       0.62203811459197100        1.1631887889272535E-002  0.54849147599178016       0.23189017999632452       0.92566658552364345     	  0.81981121537037838       0.25401664324396722        4.1653949763845524E-002  0.71259684167407356       0.71643092248303575        5.0942559541083322E-002  0.50696828043696629     	  0.86055300343221697        7.5058548598474065E-002   2.8810219383417580E-002  0.40306989195116999       0.44582509827293471       0.64171114215834502        1.4152961823398220E-002	  0.26526966436887228       0.25739726511774275       0.24259811340949020        8.0897592015589988E-003   1.5774241708498220E-002  0.49193488709218697        9.4918910581047719E-002	  0.10185385697090596        4.3664134521001409E-002  0.44603750840187095       0.10280064336804194       0.19853868562786547       0.82457393456712880       0.27731059847440104     
   349.99999999985761       0.53549781401591767       0.48183853083987754       0.57213267675610424        8.7908582268410116E-003  0.31052788338328974        9.5079517741293779E-002   3.7962700926481976E-002	   2.7147380104804546E-002  0.32452149130998564       0.72259500337293492       0.14722410271560307        9.9760802713246582E-002  0.26901543606770739       0.35955150965406329     	  0.26577716437343979       0.86643040586936715       0.47465526959860638        2.0881067442304776E-002  0.39135960086454602        9.5019478734479398E-002  0.95104440406020452     	  0.87892572544800263       0.10703253696577744        5.2951132219679732E-003  0.58461067431594926       0.76592420206408363        5.0216913946776146E-002  0.33613368476171979     	  0.74550528194730847       0.25758470056454413       0.15792783892832571       0.68852462283960736       0.28421319965748587       0.47916020320818803        6.6888805787843286E-002	  0.11760978865028617       0.11179201377853802       0.27160781835744252        9.1176012013863533E-003  0.11230388719516916       0.33520278775016943       0.25992091414506724     	   2.8497909718723860E-002   4.6357467483617486E-002  0.27671954628316048        1.5578282435372326E-002  0.44383043785646925       0.87506829222382676       0.14382564063295844     
   374.99999999984465       0.41520762917767967       0.34263756005100160       0.42701756947399699        1.0789480222478770E-002  0.33939180699400662        1.4828129887021101E-002   4.2865437841234720E-002	   3.0661453989842456E-002  0.20333781647517118       0.75694764189828478        4.2875671872217393E-002   1.9214768731755639E-002  0.51924469173743404       0.40179416449697758     	  0.29982756986269676       0.90253484407840079       0.32920431828517221        9.6618263876035951E-003  0.24174106322773112        1.7545537459463967E-002  0.95496429645266712     	  0.92519083798294910        2.0846440286050268E-002   6.8968491386059858E-002  0.44465403275329429       0.79080016019489263        5.6611504710952908E-002  0.18044212454512473     	  0.60745877699432083       0.50399155724542366       0.36968732419212424       0.90940056015020054       0.15312668587117392       0.33149364505857931       0.21362484038840293     	   3.1158259623158734E-002   2.3784753508924786E-002  0.30074017225566424        1.0181943648789823E-002  0.30186641061013725       0.19173196704072926       0.50882165995342765     	   5.5893590900040875E-002   5.1812720117062470E-002  0.13390383131456354        1.5825064884831447E-002  0.70254412378063702       0.91128373518570338        6.4213506666244216E-002
   399.99999999983169       0.26731008227959585       0.18955862164029383       0.28454416268148786        1.1474814154464386E-002  0.36786303684626070        1.2001928481655808E-002   4.8134063799615018E-002	   3.4846385193943938E-002   7.7291437123836793E-002  0.78671324347489247        5.6067533225220905E-003   1.4884721397220543E-002  0.76136481606168560       0.44263514819824173     	  0.33407850321777960       0.92358478000566735       0.19259448951298361        1.2416137557647170E-002  0.11811033384100306        1.5414622104924613E-002  0.93786663789126401     	  0.95845820664820613        1.0279342734694184E-002  0.21907771461013051       0.30594792253187536       0.80188562633598204        6.4941061040468512E-002   6.6797255660588181E-002	  0.45962386128640170       0.74716728171759694       0.61091430282293091       0.99090681721644525        5.5303445765266940E-002  0.18459106640140008       0.42090459858189805     	   1.6858656547021168E-002   7.8433226668365667E-003  0.33003849248089695        1.0664217113550652E-002  0.53850223146817100        8.7969496554753071E-002  0.73602087554432583     	  0.14799941312590695        5.8102920988359244E-002   3.8453992425395829E-002  0.10178455051812715       0.89750351814076745       0.93151841652088607        2.6877448752435293E-002
   424.99999999981873       0.15880868872030168        9.3867718813507778E-002  0.15992534024500329        1.0643112536854888E-002  0.39494598711726525        8.6734464430746686E-002   5.4045702453025715E-002	   3.9250726059331199E-002   3.4379958433649833E-002  0.80922595423887245        4.0455850486037767E-002   8.6805503605130382E-002  0.93088733656777967       0.48319046357246853     	  0.36905921362364508       0.92904498362281585        8.9891483434859282E-002   1.6352093012340831E-002   3.7184053202402700E-002   8.6770315897385930E-002  0.89977297633697939     	  0.97651383300448913        7.6311736787678414E-002  0.42502534065558123       0.18130548824911594       0.80649638222021780        6.6349520208700441E-002   1.1881616935248245E-002	  0.31597267936623880       0.92219389350492942       0.82060404820470301       0.90585297141297250        1.3347057499797870E-002   8.5499482225977058E-002  0.64952521551367781     	   7.8323511913607577E-002   6.6405089155469804E-002  0.35898475766866528        1.0887672071920665E-002  0.76486991608157762        2.5449542004543746E-002  0.90974402979679236     	  0.31845158223757641        6.3517039122046912E-002   4.0372845897956111E-003  0.25792362357109644       0.97008736372522986       0.93497900794305899        7.2211680161570632E-002
   449.99999999980582        7.2757844988526846E-002   3.3672613713243871E-002   6.7531257334558781E-002   9.3598891126514382E-003  0.41999910296705467       0.22671650386227046        5.9674208941340276E-002	   4.3263441766015424E-002   1.7272690542062197E-002  0.81399872029218023       0.14333212068486084       0.22258156347498112       0.98109851696914496       0.52275612072112376     	  0.40460354075355998       0.91876601059832264        2.4288360622681474E-002   8.7908074388610875E-003   9.1064678621553784E-003  0.22022336172482787       0.84261469906355790     	  0.97891032611033257       0.20810637691152123       0.64508371961419475        8.4085498551118340E-002  0.78884969503112934        6.8999342960063492E-002   1.8581496052448462E-002	  0.18938988229855805       0.98150124166069408       0.94670313421071040       0.68286051919526036        2.7994671949891147E-002   2.9699349124588409E-002  0.84435858033162681     	  0.20391869997533402       0.18906388684475944       0.38680334735030714        1.1804220588011359E-002  0.92659443704060418        2.7980018986896244E-002  0.97442032850088156     	  0.52287024435046392        6.8924985821097351E-002   3.4715640521052568E-002  0.45750682210349936       0.89816926233666272       0.92162583128174957       0.15769469200839045     
   474.99999999979286        2.4488823337517777E-002   1.7334687093262635E-002   1.5710202932666159E-002   8.1933979081922712E-003  0.44218820165151124       0.41014411358359532        6.5960578928087252E-002	   4.8104903048666561E-002   6.8511749389445473E-002  0.80957957838461914       0.29747297827678987       0.40110454446087018       0.89885415000925684       0.56027536348367202     	  0.44007449494184364       0.89306292547068855        7.4437716048307298E-003   1.4089610105918051E-002   3.3968691562313795E-002  0.39642809895774450       0.76859024627469219     	  0.96560010037830235       0.38538494501024800       0.83357106023260763        2.4687587116911634E-002  0.75765180154375278        7.9548844708744196E-002   9.2723974572861634E-002	   9.1411991071959700E-002  0.90927685291715610       0.95838619948972581       0.39721737450565259        9.8560186114884984E-002   1.9522037067511318E-002  0.95580493513788956     	  0.38007248215142830       0.35679786239429495       0.41307117192930354        1.2941644621178538E-002  0.98387760526672974        7.5187406217756880E-002  0.90937614340101169     	  0.72420327782552274        7.6315603841823801E-002  0.12541574163774422       0.66448074249941202       0.70275400054245252       0.89260086275882111       0.29155035432798365     
